,number,q_string
0,1,"A helicopter, initially hovering 40 feet above the
ground, begins to gain altitude at a rate of 21 feet per
second. Which of the following functions represents
the helicopter’s altitude above the ground y, in feet,
t seconds after the helicopter begins to gain altitude?

A) y=40+21
B) y=40+2I¢
C) y=40-21¢

D) y=40¢+21
"
1,2,"A text messaging plan charges a flat fee of $5 per
month for up to 100 text messages sent plus $0.25 for
each additional text message sent that month. Which
of the following graphs represents the cost, y, of
sending x texts in a month?

A) y

B)

a

100
Cc) y
ry
/
i——}——_» x
O 100
D)

aN

"
2,3,"Jake buys a bag of popcorn at a movie theater. He
eats half of the popcorn during the 15 minutes of
previews. After eating half of the popcorn, he stops
eating for the next 30 minutes. Then he gradually
eats the popcorn until he accidentally spills all of the
remaining popcorn. Which of the following graphs
could represent the situation?

A)

Amount of popcorn
in the bag

in
0 30 60 90
Time (minutes)

B)

Amount of popcorn
in the bag

0 30 60 90
Time (minutes)

Cc)

Amount of popcorn
in the bag

0 30 60 90
Time (minutes)

D)

Amount of popcorn
in the bag

Pp dd
0 30 60 90
Time (minutes)
"
3,4,"If 20 — x = 15, what is the value of 3x 2?
A) 5
B) 10
Cc) 15
D) 35
"
4,5,"_x+3

fe) =

For the function f defined above, what is the value of

f(-1)?

A) -2
B) -1
Cc) 1

D) 2
"
5,6,"Which of the following is equivalent to x(x? — 3x)?
A) —4x
B) 3x3 — x
C) 2x? — 3x

D) 2x>- 6x?
"
6,7,"A retail company has 50 large stores located in
different areas throughout a state. A researcher for
the company believes that employee job satisfaction
varies greatly from store to store. Which of the
following sampling methods is most appropriate to
estimate the proportion of all employees of the
company who are satisfied with their job?

A) Selecting one of the 50 stores at random and
then surveying each employee at that store

B) Selecting 10 employees from each store at
random and then surveying each employee
selected

C) Surveying the 25 highest-paid employees and the
25 lowest-paid employees

D) Creating a website on which employees can
express their opinions and then using the first
50 responses
"
7,8,"900
800
700
600
500
400
300 +
200-#""
100 #
0

Total amount deposited
(dollars)

01234567
Number of weeks

The two graphs above show the total amounts of
money that Ian and Jeremy each have deposited into
their savings accounts for the first seven weeks after
opening their accounts. After they made their initial
deposits, how much more did Ian deposit each week
than Jeremy?

A) $200
B) $100
C) $50
D) $25

"
8,9,"h(x) = 2*

The function h is defined above. What is
h(5) — h(3) ?
A) 2
"
9,10,"A researcher surveyed a random sample of students
from a large university about how often they see
movies. Using the sample data, the researcher
estimated that 23% of the students in the population
saw a movie at least once per month. The margin of
error for this estimation is 4%. Which of the
following is the most appropriate conclusion about
all students at the university, based on the given
estimate and margin of error?

A) Itis unlikely that less than 23% of the students
see a movie at least once per month.

B) Atleast 23%, but no more than 25%, of the
students see a movie at least once per month.

C) The researcher is between 19% and 27% sure
that most students see a movie at least once per
month.

D) Itis plausible that the percentage of students
who see a movie at least once per month is
between 19% and 27%.

"
10,11,"List A 1 2 3 4 5 6

List B 2 3 3 4 4 5

The table above shows two lists of numbers. Which
of the following is a true statement comparing list A
and list B?

A) The means are the same, and the standard
deviations are different.

B) The means are the same, and the standard
deviations are the same.

C) The means are different, and the standard
deviations are different.

D) The means are different, and the standard
deviations are the same.

"
11,12,"A book was on sale for 40% off its original price. If
the sale price of the book was $18.00, what was the
original price of the book? (Assume there is no sales
tax.)

A) $7.20
B) $10.80
C) $30.00
D) $45.00
"
12,13,"Which of the following colonies showed a decrease in

size every two weeks after the initial treatment with
pesticide?

I. Colony A
Il. Colony B
III. Colony C

A) lonly

B) Ill only

C) Land II only
D) 1,1, and III
"
13,14,"Of the following, which is closest to the ratio of the
total number of insects in all three colonies in week 8
to the total number of insects at the time of initial
treatment?

A) 2to5
B) 1to4
C) 3to5
D) 1to2

"
14,15,"BE

A right circular cone has a volume of 247 cubic
inches. If the height of the cone is 2 inches, what
is the radius, in inches, of the base of the cone?

A) 2V3
B) 6
C) 12
D) 36
"
15,16,"16

n 2015 the populations of City X and City Y were
equal. From 2010 to 2015, the population of City X
increased by 20% and the population of City Y
decreased by 10%. If the population of City X was
20,000 in 2010, what was the population of City Y
in 2010?

A) 60,000
B) 90,000
C) 160,000
D) 240,000

"
16,17,"The volume of a sphere is given by the formula
V= : ar, where r is the radius of the sphere. Which
of the following gives the radius of the sphere in

terms of the volume of the sphere?
A) —

B) —

"
17,18,"The table above shows the results of a survey in
which tablet users were asked how often they would
watch video advertisements in order to access
streaming content for free. Based on the table, which
of the following is closest to the probability that a
tablet user answered “Always,” given that the tablet

Survey Results

Answer | Percent
Never | 31.3%
Rarely | 24.3%
Often | 13.5%
Always | 30.9%

user did not answer “Never”?

A) 0.31
B) 0.38
C) 0.45
D) 0.69

"
